,,,0
PCEPI,t12,PCEPI,0.2799608695288436
PCEPI,t24,PCEPI,0.2818477735080331
DDURRG3M086SBEA,t1,DDURRG3M086SBEA,0.31313784935827316
DDURRG3M086SBEA,t6,DDURRG3M086SBEA,0.33965968313962835
DDURRG3M086SBEA,t12,DDURRG3M086SBEA,0.353455456229705
DDURRG3M086SBEA,t24,DDURRG3M086SBEA,0.35706827655500395
DNDGRG3M086SBEA,t1,DNDGRG3M086SBEA,0.7338564724655108
DNDGRG3M086SBEA,t6,DNDGRG3M086SBEA,0.8282711027882523
DNDGRG3M086SBEA,t12,DNDGRG3M086SBEA,0.8125777167351657
DNDGRG3M086SBEA,t24,DNDGRG3M086SBEA,0.8154760026693774
DSERRG3M086SBEA,t1,DSERRG3M086SBEA,0.12307500897843783
DSERRG3M086SBEA,t6,DSERRG3M086SBEA,0.13868547818785446
DSERRG3M086SBEA,t12,DSERRG3M086SBEA,0.15621903025898268
DSERRG3M086SBEA,t24,DSERRG3M086SBEA,0.16245729565530986
CES0600000008,t1,CES0600000008,0.2454501545778842
CES0600000008,t6,CES0600000008,0.22754031562330532
CES0600000008,t12,CES0600000008,0.23859687292279744
CES0600000008,t24,CES0600000008,0.24815054496988942
CES2000000008,t1,CES2000000008,0.48207841804644463
CES2000000008,t6,CES2000000008,0.468175780682584
CES2000000008,t12,CES2000000008,0.4705993970092575
CES2000000008,t24,CES2000000008,0.4767395235602564
CES3000000008,t1,CES3000000008,0.2826728297843472
CES3000000008,t6,CES3000000008,0.2620599576694611
CES3000000008,t12,CES3000000008,0.2730292018848646
CES3000000008,t24,CES3000000008,0.2755655491648476
UMCSENTx,t1,UMCSENTx,4.38215823695158
UMCSENTx,t6,UMCSENTx,4.372224798454771
UMCSENTx,t12,UMCSENTx,4.378869400147925
UMCSENTx,t24,UMCSENTx,4.374494387933919
DTCOLNVHFNM,t1,DTCOLNVHFNM,2.339076104815396
DTCOLNVHFNM,t6,DTCOLNVHFNM,2.3386210025466054
DTCOLNVHFNM,t12,DTCOLNVHFNM,2.2966358272782528
DTCOLNVHFNM,t24,DTCOLNVHFNM,2.3172304713995198
DTCTHFNM,t1,DTCTHFNM,2.901845345821082
DTCTHFNM,t6,DTCTHFNM,2.828122429851079
DTCTHFNM,t12,DTCTHFNM,2.8158958131323795
DTCTHFNM,t24,DTCTHFNM,2.7789796951761994
INVEST,t1,INVEST,0.9847708949011992
INVEST,t6,INVEST,1.0614539593342274
INVEST,t12,INVEST,1.0991266727023736
INVEST,t24,INVEST,1.1048769657163429
VIXCLSx,t1,VIXCLSx,4.952256135816345
VIXCLSx,t6,VIXCLSx,9.398636985950544
VIXCLSx,t12,VIXCLSx,10.725891324858805
VIXCLSx,t24,VIXCLSx,12.171836813315862
