,,Symmetric,Asymmetric
Forecasting Horizon 12,AMDMUOx,0.007517452213154095,0.006771425627604452
Forecasting Horizon 12,BUSINVx,0.005067226850748993,0.0048841998303544715
Forecasting Horizon 12,ISRATIOx,0.00820302476750789,0.009896014011667224
Forecasting Horizon 12,M1SL,0.10780304734427759,0.10796780172407079
Forecasting Horizon 12,M2SL,0.005315124339329152,0.00534368993626294
Forecasting Horizon 12,M2REAL,0.00473059849053297,0.005075933084875184
Forecasting Horizon 12,BOGMBASE,0.03401491178820881,0.03474296047703767
Forecasting Horizon 12,TOTRESNS,0.089693837742315,0.09208530710758432
Forecasting Horizon 12,NONBORRES,0.4284615094488063,0.47635914539179264
Forecasting Horizon 12,BUSLOANS,0.01194678219551398,0.01207199936230317
Forecasting Horizon 12,REALLN,0.00633310756269037,0.00629383176596039
Forecasting Horizon 12,NONREVSL,0.00846014491614248,0.008604581266383103
Forecasting Horizon 12,CONSPI,0.0005168123852707751,0.0005221562743305037
Forecasting Horizon 12,S&P 500,0.01589735200598149,0.021746354198211068
Forecasting Horizon 12,S&P: indust,0.014850814356655041,0.019796076789524723
Forecasting Horizon 12,S&P div yield,0.03816925650738099,0.05174768871459251
Forecasting Horizon 12,S&P PE ratio,0.03583803069595833,0.04315753962683247
Forecasting Horizon 12,FEDFUNDS,0.13723634660852357,0.14261933400865945
Forecasting Horizon 12,CP3Mx,0.12931861724625682,0.12976382364405203
Forecasting Horizon 12,TB3MS,0.13196960797157856,0.12459687428393916
Forecasting Horizon 12,TB6MS,0.129841685184996,0.12385386963115329
Forecasting Horizon 12,GS1,0.13047033891083207,0.12592971515789989
Forecasting Horizon 12,GS5,0.10140164834489612,0.12057702776456469
Forecasting Horizon 12,GS10,0.08703281878111371,0.10480531561325776
Forecasting Horizon 12,AAA,0.06483744717829848,0.07382490969253265
Forecasting Horizon 12,BAA,0.07953790475697894,0.09833777040864972
Forecasting Horizon 12,COMPAPFFx,0.2927555730801196,0.3204239337381214
Forecasting Horizon 12,TB3SMFFM,0.31711106461889926,0.291260553645385
Forecasting Horizon 12,TB6SMFFM,0.35414078501583657,0.3617931873682272
Forecasting Horizon 12,T1YFFM,0.37612410054364454,0.4155291492887121
Forecasting Horizon 12,T5YFFM,0.770449095518515,0.9270927740245734
Forecasting Horizon 12,T10YFFM,0.9580253238720178,1.0683911113618945
Forecasting Horizon 12,AAAFFM,1.2221899695045468,1.285294074613571
Forecasting Horizon 12,BAAFFM,1.4413519400867703,1.5618702916527265
Forecasting Horizon 12,TWEXAFEGSMTHx,0.006454073925779755,0.009035733072435576
Forecasting Horizon 12,EXSZUSx,0.006383701055125987,0.010714746842119656
Forecasting Horizon 12,EXJPUSx,0.0096888735926334,0.012506709471512943
Forecasting Horizon 12,EXUSUKx,0.00869219828959381,0.013441875547726086
Forecasting Horizon 12,EXCAUSx,0.007233388838877232,0.008817014936685262
Forecasting Horizon 12,WPSFD49207,0.009510714513778386,0.009601876936070708
Forecasting Horizon 12,WPSFD49502,0.012689270235112385,0.012771572498335892
Forecasting Horizon 12,WPSID61,0.01010494537177532,0.010173131169076135
Forecasting Horizon 12,WPSID62,0.04614893068149124,0.04644271697732044
Forecasting Horizon 12,OILPRICEx,0.12675533057929436,0.127493032553004
Forecasting Horizon 12,PPICMM,0.03947574254776116,0.03978503756888883
Forecasting Horizon 12,CPIAUCSL,0.0028634809584738167,0.0029140518139771834
Forecasting Horizon 12,CPIAPPSL,0.0067290045386527875,0.006844968879100923
Forecasting Horizon 12,CPITRNSL,0.016069605287302884,0.016374382363423885
Forecasting Horizon 12,CPIMEDSL,0.002246584566286879,0.002257992840455792
Forecasting Horizon 12,CUSR0000SAC,0.006842264394568272,0.006980583034751031
Forecasting Horizon 12,CUSR0000SAD,0.0037069105570734177,0.0037148995969070037
Forecasting Horizon 12,CUSR0000SAS,0.0011430186619946995,0.0011570361414733287
Forecasting Horizon 12,CPIULFSL,0.003335655620380677,0.0033887997843438503
Forecasting Horizon 12,CUSR0000SA0L2,0.004251197937797062,0.004332603049536896
Forecasting Horizon 12,CUSR0000SA0L5,0.0031005483601934513,0.0031500403577150054
Forecasting Horizon 12,PCEPI,0.0020156394511619043,0.002052456153050396
Forecasting Horizon 12,DDURRG3M086SBEA,0.00346081358802729,0.003512734815856648
Forecasting Horizon 12,DNDGRG3M086SBEA,0.00759611464424514,0.007717397817440127
Forecasting Horizon 12,DSERRG3M086SBEA,0.0011280558041663004,0.0011759703308287944
Forecasting Horizon 12,CES0600000008,0.0025056859834786684,0.0025283628045188896
Forecasting Horizon 12,CES2000000008,0.006066473280422008,0.006107458073204272
Forecasting Horizon 12,CES3000000008,0.003104340015742638,0.0031626203711651963
Forecasting Horizon 12,UMCSENTx,0.9182008369187765,1.1364187495876392
Forecasting Horizon 12,DTCOLNVHFNM,0.03095775300029701,0.03134827086351308
